Table 21.  FMC Connector (J34)
Agilex™ 5 FPGA E-Series 065B Premium Development Kit	FMC Connector (J34)
Schematic Signal Name	I/O Bank	Voltage Level (V)	V57.1 Name	Pin Number
FMC_GBTCLK0_M2C_P	UX 4B	—	GBTCLK0_M2C_P	D4
FMC_GBTCLK0_M2C_N	UX 4B	—	GBTCLK0_M2C_N	D5
FMC_GBTCLK1_M2C_P	UX 4C	—	GBTCLK1_M2C_P	B20
FMC_GBTCLK1_M2C_N	UX 4C	—	GBTCLK1_M2C_N	B21
FMC_RX0_P	UX 4B	—	DP0_M2C_P	C6
FMC_RX0_N	UX 4B	—	DP0_M2C_N	C7
FMC_RX1_P	UX 4B	—	DP1_M2C_P	A2
FMC_RX1_N	UX 4B	—	DP1_M2C_N	A3
FMC_RX2_P	UX 4B	—	DP2_M2C_P	A6
FMC_RX2_N	UX 4B	—	DP2_M2C_N	A7
FMC_RX3_P	UX 4B	—	DP3_M2C_P	A10
FMC_RX3_N	UX 4B	—	DP3_M2C_N	A11
FMC_RX4_P	UX 4C	—	DP4_M2C_P	A14
FMC_RX4_N	UX 4C	—	DP4_M2C_N	A15
FMC_RX5_P	UX 4C	—	DP5_M2C_P	A18
FMC_RX5_N	UX 4C	—	DP5_M2C_N	A19
FMC_RX6_P	UX 4C	—	DP6_M2C_P	B16
FMC_RX6_N	UX 4C	—	DP6_M2C_N	B17
FMC_RX7_P	UX 4C	—	DP7_M2C_P	B12
FMC_RX7_N	UX 4C	—	DP7_M2C_N	B13
FMC_TX0_P	UX 4B	—	DP0_C2M_P	C2
FMC_TX0_N	UX 4B	—	DP0_C2M_N	C3
FMC_TX1_P	UX 4B	—	DP1_C2M_P	A22
FMC_TX1_N	UX 4B	—	DP1_C2M_N	A23
FMC_TX2_P	UX 4B	—	DP2_C2M_P	A26
FMC_TX2_N	UX 4B	—	DP2_C2M_N	A27
FMC_TX3_P	UX 4B	—	DP3_C2M_P	A30
FMC_TX3_N	UX 4B	—	DP3_C2M_N	A31
FMC_TX4_P	UX 4C	—	DP4_C2M_P	A34
FMC_TX4_N	UX 4C	—	DP4_C2M_N	A35
FMC_TX5_P	UX 4C	—	DP5_C2M_P	A38
FMC_TX5_N	UX 4C	—	DP5_C2M_N	A39
FMC_TX6_P	UX 4C	—	DP6_C2M_P	B36
FMC_TX6_N	UX 4C	—	DP6_C2M_N	B37
FMC_TX7_P	UX 4C	—	DP7_C2M_P	B32
FMC_TX7_N	UX 4C	—	DP7_C2M_N	B33
FMC_1V2_LA_P0	HSIO 3B	1.2	LA00_P_CC	G6
FMC_1V2_LA_N0	HSIO 3B	1.2	LA00_N_CC	G7
